Web_Based_Framework,Company,Location,Min_Work_Exp,Javascript,Python,OOP,C_programming,Front_end,DB,Eligibilty,Max_Salary
Vue.js,IBM,Bangalore,8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Any,"34,00,000"
Vue.js,Accenture,Hyderabad,4,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Any,"13,00,000"
Vue.js,Accenture,Bangalore,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"12,00,000"
Vue.js,Accenture,Hyderabad,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Graduate,"23,00,000"
Vue.js,Accenture,Noida,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,"12,00,000"
Vue.js,Accenture,Bangalore,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"12,00,000"
Vue.js,Accenture,Ahmedabad,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Graduate,"11,80,000"
Vue.js,Accenture,Ahmedabad,4,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Graduate,"18,80,000"
Vue.js,Accenture,Mumbai,6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Graduate,"23,00,000"
Vue.js,Capgemini,Kolkata,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
Vue.js,Capgemini,Bangalore,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,"7,90,000"
Vue.js,Dell,Bangalore,3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Any,
Vue.js,Cognizant,Hyderabad,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Any,"11,00,000"
Vue.js,Tech Mahindra,Bangalore,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Graduate,
Vue.js,Tech Mahindra,Bangalore,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"9,50,000"
Vue.js,Tech Mahindra,Mumbai,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Any,"7,80,000"
Vue.js,Infosys,Pune,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Any,"6,50,000"
Express.js,IBM,Bangalore,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,"20,90,000"
Express.js,IBM,Pune,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"20,90,000"
Express.js,IBM,Bangalore,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"20,90,000"
Express.js,Wipro,Chennai,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"15,00,000"
Express.js,Wipro,Bangalore,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"15,00,000"
Express.js,Wipro,Hyderabad,6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"22,00,000"
Express.js,Wipro,Pune,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,
Express.js,TCS,Kolkata,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"9,50,000"
Express.js,Accenture,Mumbai,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"12,00,000"
ASP.NET Core,TCS,Delhi,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"13,20,000"
ASP.NET Core,TCS,India,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"8,80,000"
ASP.NET Core,TCS,Chennai,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Graduate,"8,80,000"
ASP.NET Core,IBM,Kolkata,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"14,00,000"
ASP.NET Core,IBM,Pune,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"14,00,000"
ASP.NET Core,IBM,Mysore,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"14,00,000"
ASP.NET Core,IBM,Bangalore,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"14,00,000"
ASP.NET Core,Mindtree,Chennai,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"6,50,000"
ASP.NET Core,Mindtree,Indore,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Any,
ASP.NET Core,Mindtree,Pune,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"7,40,000"
ASP.NET Core,Mindtree,Bangalore,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"11,00,000"
ASP.NET Core,Wipro,Gurgaon,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"8,00,000"
ASP.NET Core,Wipro,Bangalore,5,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"22,00,000"
ASP.NET Core,Cognizant,Kolkata,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Graduate,"9,00,000"
ASP.NET Core,Cognizant,Chennai,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Graduate,"9,00,000"
